prompt_id,platform,n,mean_opmr,mean_cos,mean_sds,mean_sds_norm,mean_bsi
P01,GPT,1,0.3902,0.0385,-0.0699,0.4650,0.2949
P01,GEM,1,0.1034,0.0370,-0.0629,0.4685,0.2010
P01,CLA,1,0.4231,0.0625,0.0212,0.5106,0.3287
P02,GPT,1,0.3590,0.0385,0.2095,0.6048,0.3307
P02,GEM,1,0.4286,0.0476,0.0510,0.5255,0.3306
P02,CLA,1,0.3636,0.0667,-0.0437,0.4781,0.2998
P03,GPT,1,0.5625,0.0667,0.0367,0.5184,0.3787
P03,GEM,1,0.2424,0.0385,-0.2267,0.3867,0.2203
P03,CLA,1,0.4615,0.1250,0.0754,0.5377,0.3710
P04,GPT,1,0.4333,0.0556,-0.2136,0.3932,0.2911
P04,GEM,1,0.3200,0.0556,0.1337,0.5669,0.3110
P04,CLA,1,0.3889,0.0833,-0.1541,0.4229,0.2954
P05,GPT,1,0.3878,0.0323,0.1161,0.5581,0.3228
P05,GEM,1,0.4211,0.0833,0.1629,0.5814,0.3583
P05,CLA,1,0.4706,0.1000,0.0645,0.5322,0.3639
P06,GPT,1,0.2167,0.0208,-0.1566,0.4217,0.2175
P06,GEM,1,0.4800,0.0714,-0.0419,0.4790,0.3400
P06,CLA,1,0.4615,0.1250,0.3195,0.6598,0.4113
P07,GPT,1,0.2121,0.0370,0.0859,0.5429,0.2614
P07,GEM,1,0.4783,0.0769,-0.2219,0.3890,0.3116
P07,CLA,1,0.0000,0.0500,-0.4572,0.2714,0.1061
P08,GPT,1,0.3333,0.0435,-0.0014,0.4993,0.2891
P08,GEM,1,0.2308,0.0909,-0.0566,0.4717,0.2618
P08,CLA,1,0.3636,0.0667,-0.0622,0.4689,0.2967
P09,GPT,1,0.7273,0.1000,0.0302,0.5151,0.4430
P09,GEM,1,0.3929,0.0556,-0.1614,0.4193,0.2863
P09,CLA,1,0.2500,0.0625,0.0116,0.5058,0.2700
P10,GPT,1,0.5179,0.0357,0.0933,0.5466,0.3631
P10,GEM,1,0.0769,0.0769,0.0546,0.5273,0.2248
P10,CLA,1,0.5000,0.0769,0.0191,0.5095,0.3585
P11,GPT,1,0.5227,0.0455,-0.0449,0.4776,0.3451
P11,GEM,1,0.2917,0.0556,-0.0185,0.4907,0.2765
P11,CLA,1,0.3611,0.0417,-0.2165,0.3918,0.2622
P12,GPT,1,0.4524,0.0213,0.0204,0.5102,0.3247
P12,GEM,1,0.3784,0.0417,0.0742,0.5371,0.3159
P12,CLA,1,0.3182,0.0323,0.0159,0.5079,0.2833
P13,GPT,1,0.3393,0.0263,0.0180,0.5090,0.2886
P13,GEM,1,0.0714,0.0714,-0.0248,0.4876,0.2081
P13,CLA,1,0.3333,0.1429,-0.0711,0.4645,0.3104
P14,GPT,1,0.3333,0.0526,0.0908,0.5454,0.3073
P14,GEM,1,0.3438,0.0455,-0.2384,0.3808,0.2541
P14,CLA,1,0.6667,0.2500,0.2564,0.6282,0.5098
P15,GPT,1,0.3846,0.0588,0.0514,0.5257,0.3198
P15,GEM,1,0.3043,0.0588,-0.0462,0.4769,0.2772
P15,CLA,1,0.3333,0.0526,-0.0993,0.4504,0.2760
P16,GPT,1,0.4444,0.0625,-0.0380,0.4810,0.3260
P16,GEM,1,0.2857,0.0909,-0.1290,0.4355,0.2680
P16,CLA,1,0.5455,0.0909,-0.1823,0.4088,0.3449
P17,GPT,1,0.2308,0.0323,0.0700,0.5350,0.2633
P17,GEM,1,0.3500,0.0714,-0.0699,0.4650,0.2925
P17,CLA,1,0.3810,0.0714,0.0244,0.5122,0.3183
P18,GPT,1,0.1562,0.0182,0.0993,0.5496,0.2389
P18,GEM,1,0.2051,0.0312,0.0039,0.5019,0.2436
P18,CLA,1,0.2188,0.0385,0.1342,0.5671,0.2720
P19,GPT,1,0.2791,0.0312,0.1106,0.5553,0.2857
P19,GEM,1,0.0000,0.0769,-0.3066,0.3467,0.1398
P19,CLA,1,0.1579,0.0588,-0.2993,0.3503,0.1871
P20,GPT,1,0.3649,0.0208,0.0659,0.5329,0.3031
P20,GEM,1,0.3600,0.0588,-0.1220,0.4390,0.2831
P20,CLA,1,0.2353,0.0714,-0.0902,0.4549,0.2513
